variable,group,value
2130036,Germany,0
2130036,Greece,0
2130036,Italy,1
2130036,Japan,0
2130036,Latvia,0
2130036,Netherlands,0
2130036,NoInfo,0
2130036,Poland,0
2130036,Russia,0
2130036,Slovenia,0
2130036,Spain,0
2130036,Sweden,0
2130036,Switzerland,1
2130036,Ukraine,0
2130036,United Kingdom,0
2130036,United States,0
2130036,Vatican City,0
2138497,Austria,0
2138497,Belarus,0
2138497,Belgium,0
2138497,Brazil,0
2138497,Denmark,0
2138497,France,0
2138497,Germany,0
2138497,Greece,0
2138497,Italy,1
2138497,Japan,0
2138497,Latvia,0
2138497,Netherlands,2
2138497,NoInfo,1
2138497,Poland,0
2138497,Russia,0
2138497,Slovenia,0
2138497,Spain,0
2138497,Sweden,0
2138497,Switzerland,0
2138497,Ukraine,0
2138497,United Kingdom,0
2138497,United States,0
2138497,Vatican City,0
2140612,Austria,0
2140612,Belarus,0
2140612,Belgium,1
2140612,Brazil,0
2140612,Denmark,0
2140612,France,0
2140612,Germany,0
2140612,Greece,0
2140612,Italy,2
2140612,Japan,0
2140612,Latvia,0
2140612,Netherlands,0
2140612,NoInfo,0
2140612,Poland,0
2140612,Russia,0
2140612,Slovenia,0
2140612,Spain,0
2140612,Sweden,0
2140612,Switzerland,0
2140612,Ukraine,0
2140612,United Kingdom,0
2140612,United States,0
2140612,Vatican City,0
2140613,Austria,0
2140613,Belarus,0
2140613,Belgium,1
2140613,Brazil,0
2140613,Denmark,0
2140613,France,0
2140613,Germany,0
2140613,Greece,0
2140613,Italy,3
2140613,Japan,0
2140613,Latvia,0
2140613,Netherlands,0
2140613,NoInfo,1
2140613,Poland,0
2140613,Russia,0
2140613,Slovenia,0
2140613,Spain,0
2140613,Sweden,0
2140613,Switzerland,0
2140613,Ukraine,0
2140613,United Kingdom,0
2140613,United States,1
2140613,Vatican City,0
2140616,Austria,0
2140616,Belarus,0
2140616,Belgium,0
2140616,Brazil,0
2140616,Denmark,2
2140616,France,0
2140616,Germany,0
2140616,Greece,0
2140616,Italy,1
2140616,Japan,0
2140616,Latvia,0
2140616,Netherlands,0
2140616,NoInfo,0
2140616,Poland,0
2140616,Russia,0
2140616,Slovenia,0
2140616,Spain,0
2140616,Sweden,0
2140616,Switzerland,0
2140616,Ukraine,0
2140616,United Kingdom,0
2140616,United States,0
2140616,Vatican City,0
2140623,Austria,0
2140623,Belarus,0
2140623,Belgium,0
2140623,Brazil,0
2140623,Denmark,0
2140623,France,2
2140623,Germany,0
2140623,Greece,0
2140623,Italy,2
2140623,Japan,0
2140623,Latvia,0
2140623,Netherlands,0
2140623,NoInfo,1
2140623,Poland,0
2140623,Russia,0
2140623,Slovenia,0
2140623,Spain,0
2140623,Sweden,0
2140623,Switzerland,0
2140623,Ukraine,0
2140623,United Kingdom,0
2140623,United States,0
2140623,Vatican City,0
2140630,Austria,0
2140630,Belarus,0
2140630,Belgium,0
2140630,Brazil,0
2140630,Denmark,0
2140630,France,1
2140630,Germany,0
2140630,Greece,0
2140630,Italy,3
2140630,Japan,0
2140630,Latvia,0
2140630,Netherlands,0
2140630,NoInfo,0
2140630,Poland,0
2140630,Russia,0
2140630,Slovenia,0
2140630,Spain,0
2140630,Sweden,0
2140630,Switzerland,0
2140630,Ukraine,0
2140630,United Kingdom,0
2140630,United States,0
2140630,Vatican City,0
2140632,Austria,0
2140632,Belarus,0
2140632,Belgium,0
2140632,Brazil,0
2140632,Denmark,0
2140632,France,2
2140632,Germany,0
2140632,Greece,0
2140632,Italy,3
2140632,Japan,0
2140632,Latvia,0
2140632,Netherlands,0
2140632,NoInfo,0
2140632,Poland,0
2140632,Russia,0
2140632,Slovenia,0
2140632,Spain,0
2140632,Sweden,0
2140632,Switzerland,0
2140632,Ukraine,0
2140632,United Kingdom,0
2140632,United States,0
2140632,Vatican City,0
2140633,Austria,0
2140633,Belarus,0
2140633,Belgium,0
2140633,Brazil,0
2140633,Denmark,0
2140633,France,1
2140633,Germany,0
2140633,Greece,0
2140633,Italy,4
2140633,Japan,0
2140633,Latvia,0
2140633,Netherlands,0
2140633,NoInfo,0
2140633,Poland,0
2140633,Russia,0
2140633,Slovenia,0
2140633,Spain,0
2140633,Sweden,0
2140633,Switzerland,0
2140633,Ukraine,0
2140633,United Kingdom,0
2140633,United States,0
2140633,Vatican City,0
2140634,Austria,0
2140634,Belarus,0
2140634,Belgium,0
2140634,Brazil,0
2140634,Denmark,0
2140634,France,2
2140634,Germany,0
2140634,Greece,0
2140634,Italy,2
2140634,Japan,0
2140634,Latvia,0
2140634,Netherlands,0
2140634,NoInfo,1
2140634,Poland,0
2140634,Russia,0
2140634,Slovenia,0
2140634,Spain,0
2140634,Sweden,0
2140634,Switzerland,0
2140634,Ukraine,0
2140634,United Kingdom,0
2140634,United States,0
2140634,Vatican City,0
2140635,Austria,0
2140635,Belarus,0
2140635,Belgium,0
2140635,Brazil,0
2140635,Denmark,0
2140635,France,1
2140635,Germany,0
2140635,Greece,1
2140635,Italy,3
2140635,Japan,0
2140635,Latvia,0
2140635,Netherlands,0
2140635,NoInfo,0
2140635,Poland,0
2140635,Russia,0
2140635,Slovenia,0
2140635,Spain,0
2140635,Sweden,0
2140635,Switzerland,0
2140635,Ukraine,0
2140635,United Kingdom,0
2140635,United States,0
2140635,Vatican City,0
2140643,Austria,0
2140643,Belarus,0
2140643,Belgium,0
2140643,Brazil,0
2140643,Denmark,0
2140643,France,1
2140643,Germany,0
2140643,Greece,0
2140643,Italy,4
2140643,Japan,0
2140643,Latvia,0
2140643,Netherlands,0
2140643,NoInfo,0
2140643,Poland,0
2140643,Russia,0
2140643,Slovenia,0
2140643,Spain,0
2140643,Sweden,0
2140643,Switzerland,0
2140643,Ukraine,0
2140643,United Kingdom,0
2140643,United States,0
2140643,Vatican City,1
2140648,Austria,0
2140648,Belarus,0
2140648,Belgium,0
2140648,Brazil,0
2140648,Denmark,0
2140648,France,1
2140648,Germany,0
2140648,Greece,0
2140648,Italy,3
2140648,Japan,0
2140648,Latvia,0
2140648,Netherlands,0
2140648,NoInfo,1
2140648,Poland,0
2140648,Russia,0
2140648,Slovenia,0
2140648,Spain,0
2140648,Sweden,0
2140648,Switzerland,0
2140648,Ukraine,0
2140648,United Kingdom,0
2140648,United States,0
2140648,Vatican City,0
2140668,Austria,0
2140668,Belarus,0
2140668,Belgium,0
2140668,Brazil,0
2140668,Denmark,0
2140668,France,0
2140668,Germany,1
2140668,Greece,0
2140668,Italy,1
2140668,Japan,0
2140668,Latvia,0
2140668,Netherlands,0
2140668,NoInfo,0
2140668,Poland,0
2140668,Russia,0
2140668,Slovenia,0
2140668,Spain,0
2140668,Sweden,0
2140668,Switzerland,0
2140668,Ukraine,0
2140668,United Kingdom,0
2140668,United States,0
2140668,Vatican City,0
2140675,Austria,1
2140675,Belarus,0
2140675,Belgium,0
2140675,Brazil,0
2140675,Denmark,0
2140675,France,0
2140675,Germany,1
2140675,Greece,0
2140675,Italy,2
2140675,Japan,0
2140675,Latvia,0
2140675,Netherlands,0
2140675,NoInfo,0
2140675,Poland,0
2140675,Russia,0
2140675,Slovenia,0
2140675,Spain,0
2140675,Sweden,0
2140675,Switzerland,0
2140675,Ukraine,0
2140675,United Kingdom,0
2140675,United States,0
2140675,Vatican City,0
2140676,Austria,0
2140676,Belarus,0
2140676,Belgium,0
2140676,Brazil,0
2140676,Denmark,0
2140676,France,1
2140676,Germany,2
2140676,Greece,0
2140676,Italy,10
2140676,Japan,0
2140676,Latvia,0
2140676,Netherlands,0
2140676,NoInfo,0
2140676,Poland,0
2140676,Russia,0
2140676,Slovenia,0
2140676,Spain,0
2140676,Sweden,0
2140676,Switzerland,0
2140676,Ukraine,0
2140676,United Kingdom,0
2140676,United States,0
2140676,Vatican City,0
2140685,Austria,0
2140685,Belarus,0
2140685,Belgium,0
2140685,Brazil,0
2140685,Denmark,0
2140685,France,0
2140685,Germany,0
2140685,Greece,0
2140685,Italy,6
2140685,Japan,0
2140685,Latvia,0
2140685,Netherlands,0
2140685,NoInfo,0
2140685,Poland,0
2140685,Russia,0
2140685,Slovenia,0
2140685,Spain,0
2140685,Sweden,0
2140685,Switzerland,0
2140685,Ukraine,0
2140685,United Kingdom,0
2140685,United States,0
2140685,Vatican City,0
2140686,Austria,0
2140686,Belarus,0
2140686,Belgium,0
2140686,Brazil,0
2140686,Denmark,0
2140686,France,0
2140686,Germany,0
2140686,Greece,0
2140686,Italy,5
2140686,Japan,0
2140686,Latvia,0
2140686,Netherlands,0
2140686,NoInfo,0
2140686,Poland,0
2140686,Russia,0
2140686,Slovenia,0
2140686,Spain,0
2140686,Sweden,0
2140686,Switzerland,0
2140686,Ukraine,0
2140686,United Kingdom,0
2140686,United States,0
2140686,Vatican City,0
2140687,Austria,0
2140687,Belarus,0
2140687,Belgium,0
2140687,Brazil,0
2140687,Denmark,0
2140687,France,0
2140687,Germany,0
2140687,Greece,0
2140687,Italy,3
2140687,Japan,0
2140687,Latvia,0
2140687,Netherlands,0
2140687,NoInfo,0
2140687,Poland,0
2140687,Russia,0
2140687,Slovenia,0
2140687,Spain,0
2140687,Sweden,0
2140687,Switzerland,0
2140687,Ukraine,0
2140687,United Kingdom,0
2140687,United States,0
2140687,Vatican City,0
2140700,Austria,0
2140700,Belarus,0
2140700,Belgium,0
2140700,Brazil,0
2140700,Denmark,0
2140700,France,0
2140700,Germany,0
2140700,Greece,0
2140700,Italy,5
2140700,Japan,0
2140700,Latvia,0
2140700,Netherlands,0
2140700,NoInfo,0
2140700,Poland,0
2140700,Russia,0
2140700,Slovenia,0
2140700,Spain,0
2140700,Sweden,0
2140700,Switzerland,0
2140700,Ukraine,0
2140700,United Kingdom,0
2140700,United States,0
2140700,Vatican City,0
2140701,Austria,0
2140701,Belarus,0
2140701,Belgium,0
2140701,Brazil,0
2140701,Denmark,0
2140701,France,0
2140701,Germany,0
2140701,Greece,0
2140701,Italy,4
2140701,Japan,0
2140701,Latvia,0
2140701,Netherlands,0
2140701,NoInfo,0
2140701,Poland,0
2140701,Russia,0
2140701,Slovenia,0
2140701,Spain,0
2140701,Sweden,0
2140701,Switzerland,0
2140701,Ukraine,0
2140701,United Kingdom,0
2140701,United States,0
2140701,Vatican City,0
2140702,Austria,0
2140702,Belarus,0
2140702,Belgium,0
2140702,Brazil,0
2140702,Denmark,0
2140702,France,0
2140702,Germany,0
2140702,Greece,0
2140702,Italy,5
2140702,Japan,0
2140702,Latvia,0
2140702,Netherlands,0
2140702,NoInfo,0
2140702,Poland,0
2140702,Russia,0
2140702,Slovenia,0
2140702,Spain,0
2140702,Sweden,0
2140702,Switzerland,0
2140702,Ukraine,0
2140702,United Kingdom,0
2140702,United States,0
2140702,Vatican City,0
2140703,Austria,0
2140703,Belarus,0
2140703,Belgium,0
2140703,Brazil,0
2140703,Denmark,0
2140703,France,0
2140703,Germany,0
2140703,Greece,0
2140703,Italy,6
2140703,Japan,0
2140703,Latvia,0
2140703,Netherlands,0
2140703,NoInfo,0
2140703,Poland,0
2140703,Russia,0
2140703,Slovenia,0
2140703,Spain,0
2140703,Sweden,0
2140703,Switzerland,0
2140703,Ukraine,0
2140703,United Kingdom,0
2140703,United States,0
2140703,Vatican City,0
2140704,Austria,0
2140704,Belarus,0
2140704,Belgium,0
2140704,Brazil,0
2140704,Denmark,0
2140704,France,0
2140704,Germany,0
2140704,Greece,0
2140704,Italy,6
2140704,Japan,0
2140704,Latvia,0
2140704,Netherlands,0
2140704,NoInfo,0
2140704,Poland,0
2140704,Russia,0
2140704,Slovenia,0
2140704,Spain,0
2140704,Sweden,0
2140704,Switzerland,0
2140704,Ukraine,0
2140704,United Kingdom,0
2140704,United States,0
2140704,Vatican City,0
2140709,Austria,0
2140709,Belarus,0
2140709,Belgium,0
2140709,Brazil,0
2140709,Denmark,0
2140709,France,0
2140709,Germany,0
2140709,Greece,0
2140709,Italy,5
2140709,Japan,0
2140709,Latvia,0
2140709,Netherlands,0
2140709,NoInfo,0
2140709,Poland,0
2140709,Russia,0
2140709,Slovenia,0
2140709,Spain,0
2140709,Sweden,0
2140709,Switzerland,0
2140709,Ukraine,0
2140709,United Kingdom,0
2140709,United States,0
2140709,Vatican City,0
2140711,Austria,0
2140711,Belarus,0
2140711,Belgium,0
2140711,Brazil,0
2140711,Denmark,0
2140711,France,0
2140711,Germany,0
2140711,Greece,0
2140711,Italy,4
2140711,Japan,0
2140711,Latvia,0
2140711,Netherlands,0
2140711,NoInfo,0
2140711,Poland,0
2140711,Russia,0
2140711,Slovenia,0
2140711,Spain,0
2140711,Sweden,0
2140711,Switzerland,0
2140711,Ukraine,0
2140711,United Kingdom,0
2140711,United States,0
2140711,Vatican City,0
2140723,Austria,0
2140723,Belarus,0
2140723,Belgium,0
2140723,Brazil,0
2140723,Denmark,0
2140723,France,0
2140723,Germany,0
2140723,Greece,0
2140723,Italy,4
2140723,Japan,0
2140723,Latvia,0
2140723,Netherlands,0
2140723,NoInfo,0
2140723,Poland,0
2140723,Russia,0
2140723,Slovenia,0
2140723,Spain,0
2140723,Sweden,0
2140723,Switzerland,0
2140723,Ukraine,0
2140723,United Kingdom,0
2140723,United States,0
2140723,Vatican City,0
2140725,Austria,0
2140725,Belarus,0
2140725,Belgium,0
2140725,Brazil,0
2140725,Denmark,0
2140725,France,0
2140725,Germany,0
2140725,Greece,0
2140725,Italy,5
2140725,Japan,0
2140725,Latvia,0
2140725,Netherlands,1
2140725,NoInfo,1
2140725,Poland,0
2140725,Russia,0
2140725,Slovenia,0
2140725,Spain,0
2140725,Sweden,0
2140725,Switzerland,0
2140725,Ukraine,0
2140725,United Kingdom,0
2140725,United States,0
2140725,Vatican City,0
2140726,Austria,0
2140726,Belarus,0
2140726,Belgium,0
2140726,Brazil,0
2140726,Denmark,0
2140726,France,0
2140726,Germany,3
2140726,Greece,0
2140726,Italy,3
2140726,Japan,0
2140726,Latvia,0
2140726,Netherlands,0
2140726,NoInfo,0
2140726,Poland,0
2140726,Russia,0
2140726,Slovenia,0
2140726,Spain,0
2140726,Sweden,0
2140726,Switzerland,0
2140726,Ukraine,0
2140726,United Kingdom,0
2140726,United States,0
2140726,Vatican City,0
2140731,Austria,0
2140731,Belarus,0
2140731,Belgium,0
2140731,Brazil,0
2140731,Denmark,0
2140731,France,0
2140731,Germany,0
2140731,Greece,0
2140731,Italy,5
2140731,Japan,0
2140731,Latvia,0
2140731,Netherlands,0
2140731,NoInfo,0
2140731,Poland,0
2140731,Russia,0
2140731,Slovenia,0
2140731,Spain,0
2140731,Sweden,0
2140731,Switzerland,0
2140731,Ukraine,0
2140731,United Kingdom,0
2140731,United States,0
2140731,Vatican City,0
2140732,Austria,0
2140732,Belarus,0
2140732,Belgium,0
2140732,Brazil,0
2140732,Denmark,0
2140732,France,0
2140732,Germany,0
2140732,Greece,0
2140732,Italy,3
2140732,Japan,0
2140732,Latvia,0
2140732,Netherlands,0
2140732,NoInfo,0
2140732,Poland,0
2140732,Russia,0
2140732,Slovenia,0
2140732,Spain,0
2140732,Sweden,0
2140732,Switzerland,0
2140732,Ukraine,0
2140732,United Kingdom,0
2140732,United States,0
2140732,Vatican City,0
2140738,Austria,0
2140738,Belarus,0
2140738,Belgium,0
2140738,Brazil,0
2140738,Denmark,0
2140738,France,0
2140738,Germany,0
2140738,Greece,0
2140738,Italy,5
2140738,Japan,0
2140738,Latvia,0
2140738,Netherlands,0
2140738,NoInfo,0
2140738,Poland,0
2140738,Russia,0
2140738,Slovenia,0
2140738,Spain,0
2140738,Sweden,0
2140738,Switzerland,0
2140738,Ukraine,0
2140738,United Kingdom,0
2140738,United States,0
2140738,Vatican City,0
2140739,Austria,0
2140739,Belarus,0
2140739,Belgium,0
2140739,Brazil,0
2140739,Denmark,0
2140739,France,0
2140739,Germany,0
2140739,Greece,0
2140739,Italy,4
2140739,Japan,0
2140739,Latvia,0
2140739,Netherlands,0
2140739,NoInfo,1
2140739,Poland,0
2140739,Russia,0
2140739,Slovenia,0
2140739,Spain,0
2140739,Sweden,0
2140739,Switzerland,0
2140739,Ukraine,0
2140739,United Kingdom,0
2140739,United States,0
2140739,Vatican City,0
2140741,Austria,0
2140741,Belarus,0
2140741,Belgium,0
2140741,Brazil,0
2140741,Denmark,0
2140741,France,0
2140741,Germany,0
2140741,Greece,0
2140741,Italy,3
2140741,Japan,0
2140741,Latvia,0
2140741,Netherlands,0
2140741,NoInfo,1
2140741,Poland,0
2140741,Russia,0
2140741,Slovenia,0
2140741,Spain,0
2140741,Sweden,0
2140741,Switzerland,0
2140741,Ukraine,0
2140741,United Kingdom,0
2140741,United States,0
2140741,Vatican City,0
2140745,Austria,0
2140745,Belarus,0
2140745,Belgium,0
2140745,Brazil,0
2140745,Denmark,0
2140745,France,0
2140745,Germany,0
2140745,Greece,0
2140745,Italy,3
2140745,Japan,0
2140745,Latvia,0
2140745,Netherlands,0
2140745,NoInfo,1
2140745,Poland,0
2140745,Russia,0
2140745,Slovenia,0
2140745,Spain,0
2140745,Sweden,0
2140745,Switzerland,0
2140745,Ukraine,0
2140745,United Kingdom,0
2140745,United States,0
2140745,Vatican City,0
2140750,Austria,0
2140750,Belarus,0
2140750,Belgium,0
2140750,Brazil,0
2140750,Denmark,0
2140750,France,0
2140750,Germany,0
2140750,Greece,0
2140750,Italy,3
2140750,Japan,0
2140750,Latvia,0
2140750,Netherlands,0
2140750,NoInfo,0
2140750,Poland,0
2140750,Russia,0
2140750,Slovenia,0
2140750,Spain,0
2140750,Sweden,0
2140750,Switzerland,0
2140750,Ukraine,0
2140750,United Kingdom,0
2140750,United States,0
2140750,Vatican City,0
2140751,Austria,0
2140751,Belarus,0
2140751,Belgium,0
2140751,Brazil,0
2140751,Denmark,0
2140751,France,0
2140751,Germany,0
2140751,Greece,0
2140751,Italy,4
2140751,Japan,0
2140751,Latvia,0
2140751,Netherlands,0
2140751,NoInfo,1
2140751,Poland,0
2140751,Russia,0
2140751,Slovenia,0
2140751,Spain,0
2140751,Sweden,0
2140751,Switzerland,0
2140751,Ukraine,0
2140751,United Kingdom,0
2140751,United States,0
2140751,Vatican City,0
2140752,Austria,0
2140752,Belarus,0
2140752,Belgium,0
2140752,Brazil,0
2140752,Denmark,0
2140752,France,0
2140752,Germany,0
2140752,Greece,0
2140752,Italy,4
2140752,Japan,0
2140752,Latvia,0
2140752,Netherlands,0
2140752,NoInfo,0
2140752,Poland,0
2140752,Russia,0
2140752,Slovenia,0
2140752,Spain,0
2140752,Sweden,0
2140752,Switzerland,0
2140752,Ukraine,0
2140752,United Kingdom,0
2140752,United States,0
2140752,Vatican City,0
2140753,Austria,0
2140753,Belarus,0
2140753,Belgium,0
2140753,Brazil,0
2140753,Denmark,0
2140753,France,0
2140753,Germany,0
2140753,Greece,0
2140753,Italy,3
2140753,Japan,0
2140753,Latvia,0
2140753,Netherlands,0
2140753,NoInfo,0
